control_id,control_title_ar,control_title_en,requirements_ar,requirements_en,implementation_guidance_ar,expected_evidence
ECC-5-1-1,إدارة أمن المعلومات,Information Security Management,"يجب على المنشأة إنشاء وتنفيذ والحفاظ على نظام إدارة أمن المعلومات","The organization must establish, implement and maintain an information security management system","يجب أن يشمل نظام إدارة أمن المعلومات السياسات والإجراءات والمعايير والضوابط الفنية","ISMS Policy, Security Framework Document, Management Approval"
ECC-5-1-2,سياسة أمن المعلومات,Information Security Policy,"يجب على المنشأة وضع سياسة لأمن المعلومات معتمدة من الإدارة العليا","The organization must have an information security policy approved by senior management","يجب أن تغطي السياسة جميع جوانب أمن المعلومات وأن تكون مراجعة بشكل دوري","Information Security Policy Document, Board Approval, Review Records"
ECC-5-2-1,إدارة الأصول,Asset Management,"يجب على المنشأة تحديد وتصنيف جميع أصول المعلومات","The organization must identify and classify all information assets","يجب إنشاء سجل لجميع الأصول مع تحديد المالك والتصنيف والقيمة","Asset Inventory, Asset Classification Matrix, Owner Assignment"
ECC-5-2-2,تصنيف المعلومات,Information Classification,"يجب تصنيف المعلومات بناءً على مستوى الحساسية والأهمية","Information must be classified based on sensitivity and criticality","يجب استخدام مستويات تصنيف واضحة مثل: سري، محدود، عام","Classification Policy, Labeling Procedures, Classification Matrix"
ECC-5-3-1,التحكم في الوصول,Access Control,"يجب تطبيق ضوابط للتحكم في وصول المستخدمين للمعلومات والأنظمة","Access controls must be implemented for users accessing information and systems","يجب أن تعتمد على مبدأ الصلاحيات الدنيا وفصل المهام","Access Control Policy, User Access Matrix, Access Reviews"
ECC-5-3-2,إدارة الهوية والصلاحيات,Identity and Access Management,"يجب إدارة هويات المستخدمين وصلاحياتهم بشكل آمن","User identities and privileges must be managed securely","يجب أن يشمل ذلك عمليات منح وإلغاء الصلاحيات والمراجعة الدورية","IAM Procedures, User Provisioning Records, Access Reviews"
ECC-5-4-1,إدارة المخاطر,Risk Management,"يجب على المنشأة تنفيذ عملية منهجية لإدارة المخاطر","The organization must implement a systematic risk management process","يجب تحديد وتقييم ومعالجة المخاطر بشكل دوري","Risk Assessment Report, Risk Register, Treatment Plans"
ECC-5-4-2,تقييم المخاطر,Risk Assessment,"يجب إجراء تقييم دوري للمخاطر المتعلقة بأمن المعلومات","Regular risk assessments for information security must be conducted","يجب أن يشمل التقييم تحديد الأصول والتهديدات ونقاط الضعف","Risk Assessment Methodology, Assessment Reports, Risk Matrices"
ECC-5-5-1,الأمن المادي,Physical Security,"يجب حماية المرافق والبنية التحتية الحيوية من الوصول غير المصرح به","Critical facilities and infrastructure must be protected from unauthorized access","يجب تطبيق ضوابط مثل التحكم في الوصول المادي والمراقبة والإنذار","Physical Security Policy, Access Logs, CCTV Records"
ECC-5-6-1,أمن العمليات,Operations Security,"يجب تأمين العمليات التشغيلية للأنظمة والشبكات","Operational security for systems and networks must be ensured","يجب وضع إجراءات للتشغيل الآمن والصيانة والمراقبة","Operations Procedures, Change Management Records, Monitoring Logs"
